379 1828
211 193 8
272 49 4
176 323 8
80 79 10
241 240 3
88 89 2
5 204 3
167 165 3
301 302 2
151 80 3
338 335 5
81 221 3
81 79 16
270 77 5
297 296 5
5 94 5
142 209 2
5 269 11
354 248 1
65 66 2
94 272 10
317 0 5
207 210 5
216 330 5
120 59 3
175 173 2
330 217 5
0 227 5
253 250 1
283 282 7
323 270 3
322 5 2
129 330 5
3 2 5
242 245 9
120 378 2
346 251 5
245 181 2
244 334 1
327 315 5
361 194 5
12 11 1
75 301 2
247 208 10
159 157 2
246 245 1
219 166 5
322 146 3
327 83 3
270 274 5
356 132 3
197 78 1
246 242 1
47 80 2
261 193 8
167 326 15
59 0 3
234 197 1
219 214 5
179 178 3
233 40 10
99 97 10
150 273 3
64 22 2
241 341 10
364 86 5
320 176 3
211 258 3
224 4 10
285 299 3
258 118 3
238 235 2
62 198 1
119 111 5
234 62 1
166 145 5
22 20 2
102 101 2
19 20 2
131 130 3
88 4 2
29 28 5
26 16 1
110 109 5
130 374 3
16 13 1
165 145 5
240 299 3
127 39 3
112 378 12
348 251 5
64 65 2
332 243 1
354 253 1
151 79 3
368 156 3
98 5 5
5 32 3
94 98 5
60 63 2
326 59 20
211 118 18
103 34 2
251 249 1
81 97 5
92 336 3
239 130 5
197 292 1
239 223 5
276 109 5
79 80 10
234 78 21
143 210 2
49 48 4
18 20 2
152 352 3
244 242 1
27 26 3
92 105 8
335 78 5
93 92 10
291 207 7
22 64 2
214 219 5
76 77 5
184 39 5
370 39 2
197 198 1
70 71 15
4 357 2
71 340 2
56 55 2
64 20 2
347 358 5
30 29 5
344 167 10
47 296 2
209 142 2
147 260 2
367 156 3
197 196 1
195 78 1
206 183 10
59 166 2
234 198 1
143 142 2
120 128 5
333 30 5
13 108 1
333 29 15
249 354 1
4 275 4
128 119 5
119 129 5
78 318 3
231 24 15
244 246 1
0 120 26
50 52 3
293 61 10
357 57 2
161 201 3
5 176 5
291 289 2
278 281 15
163 79 3
96 1 3
231 375 10
266 274 10
78 170 3
57 358 2
232 231 10
339 340 2
64 63 2
44 45 5
196 197 1
77 270 5
191 58 5
131 374 3
64 18 2
145 166 5
250 249 1
62 66 2
253 251 31
235 237 2
298 285 3
335 92 21
19 64 2
175 364 2
31 29 10
187 81 5
319 318 3
269 362 5
264 265 2
57 4 2
75 110 12
91 93 5
171 156 13
182 183 2
167 166 29
203 269 5
181 331 2
17 13 1
21 127 3
331 246 1
327 167 22
239 131 3
141 143 2
312 4 3
151 150 3
340 339 2
78 292 24
377 205 5
326 84 5
261 147 2
75 300 2
11 9 1
294 81 5
70 237 10
126 124 3
323 5 12
126 123 3
364 173 5
182 130 2
318 234 3
326 228 8
37 39 3
114 156 10
357 356 19
289 291 2
81 187 5
292 195 1
110 75 12
163 81 3
35 38 11
176 5 5
272 287 5
79 81 16
98 4 5
183 182 2
174 152 2
250 253 1
209 290 2
100 102 2
249 250 1
378 112 12
16 14 1
173 152 5
94 89 2
107 8 10
343 228 3
326 239 5
146 270 3
325 324 3
364 352 3
366 156 8
68 40 5
40 192 5
26 74 5
247 235 5
155 273 3
73 360 3
269 56 2
70 72 3
96 374 10
369 263 3
51 50 3
201 161 3
315 327 5
77 76 5
103 134 2
272 94 10
34 103 2
195 234 1
245 246 1
156 366 8
348 349 5
112 0 5
371 259 3
178 180 3
240 239 3
15 14 1
4 271 2
269 313 3
239 183 7
220 230 3
340 177 2
326 38 6
12 194 1
147 261 2
157 158 2
166 59 2
378 119 2
309 306 5
231 270 5
26 8 21
55 5 2
78 62 1
11 194 1
323 320 9
132 356 3
81 294 5
158 159 2
4 89 2
263 32 6
35 327 11
322 325 20
4 311 10
59 167 2
121 120 5
374 130 3
296 47 2
355 45 5
183 130 2
170 234 3
270 267 38
133 103 2
336 92 3
332 334 1
119 21 3
251 343 3
40 308 5
100 101 2
251 326 18
130 183 2
301 300 2
269 5 11
1 269 2
62 234 1
70 339 2
11 12 1
106 335 3
154 156 5
142 210 2
78 195 1
5 263 3
275 55 2
247 363 5
1 26 3
360 10 1
40 116 10
300 302 2
262 5 3
37 330 8
89 88 2
260 193 3
188 81 15
325 322 20
330 129 5
16 17 1
35 328 10
64 62 2
55 275 2
238 237 2
272 274 2
97 180 3
234 292 14
17 108 1
292 196 1
292 198 1
313 4 3
20 22 2
270 146 3
251 253 31
91 335 3
203 204 3
18 22 2
47 297 2
371 372 3
330 370 7
310 97 5
259 373 5
54 184 5
39 306 10
369 33 15
52 50 3
275 269 4
209 327 3
291 209 2
318 319 3
108 26 35
183 206 10
270 231 5
341 241 10
370 304 2
47 294 2
228 326 8
211 40 10
222 223 3
78 234 21
327 326 47
294 297 5
9 360 5
40 68 5
93 90 5
122 40 10
267 146 3
234 169 3
101 103 2
154 153 5
121 0 5
223 220 3
239 240 3
142 143 2
240 374 3
160 157 2
49 95 1
214 218 5
13 26 1
40 237 2
339 177 2
212 211 10
199 4 3
260 147 2
79 188 2
79 163 3
32 137 13
209 135 3
350 349 5
181 242 2
200 202 3
355 333 5
118 211 18
239 327 5
81 47 5
249 253 1
139 138 3
120 121 5
7 40 3
273 155 3
156 154 5
318 78 3
118 258 3
8 360 1
120 326 3
188 79 2
4 199 3
306 309 5
8 12 1
259 153 8
20 64 2
94 5 5
19 22 2
167 83 3
72 177 3
110 301 2
81 163 3
330 21 3
330 119 18
156 171 13
32 5 3
173 364 5
4 272 18
336 338 5
4 56 2
213 166 5
360 361 5
108 74 5
359 358 3
128 120 5
251 40 10
364 174 2
7 41 3
209 291 2
184 54 5
190 78 2
165 166 23
78 196 1
107 26 10
297 81 9
98 94 5
112 128 2
29 333 15
251 349 25
115 171 3
236 239 5
40 235 5
40 377 5
50 40 3
152 175 2
248 252 1
298 240 3
78 190 2
251 215 20
186 189 2
38 330 21
79 78 2
82 327 3
250 252 1
104 100 2
16 108 1
274 267 5
333 235 3
157 159 2
349 253 5
55 269 2
243 331 1
207 290 17
253 255 5
60 64 2
192 355 5
285 240 3
81 188 15
75 76 5
339 71 2
200 201 3
97 179 3
301 75 2
237 181 2
323 324 3
96 4 13
67 40 5
133 34 2
276 277 10
308 40 5
230 222 3
190 81 5
5 1 15
336 106 3
229 118 3
327 135 3
299 298 3
240 241 3
92 91 8
274 113 5
0 378 2
94 49 1
146 322 3
94 48 1
18 64 2
49 5 1
254 81 10
69 68 5
243 334 1
340 71 2
356 4 2
300 301 2
9 11 1
304 330 2
281 84 5
144 54 5
11 8 1
105 335 8
153 156 5
356 358 29
376 115 3
155 151 3
225 226 5
352 152 3
332 242 1
231 232 10
81 297 9
320 5 2
4 284 5
41 36 3
356 357 19
4 49 4
13 16 1
103 102 2
208 247 10
26 25 11
211 229 3
255 253 5
39 127 3
39 184 5
137 323 3
151 273 3
4 204 3
39 304 2
327 314 5
223 239 5
5 56 2
78 188 5
143 209 2
194 73 3
120 0 26
350 251 5
323 267 3
66 62 2
43 323 5
103 101 2
325 321 3
340 70 2
292 197 1
229 258 3
84 326 5
326 343 3
75 77 5
248 250 1
217 216 5
183 223 5
274 271 2
307 306 5
8 11 1
177 72 3
48 94 1
357 4 2
49 269 1
97 99 10
0 317 5
81 254 10
229 211 3
190 188 2
14 26 1
166 326 10
327 166 15
161 144 5
4 362 5
128 112 2
324 322 3
269 274 2
319 234 3
270 303 5
76 75 5
13 17 1
355 192 5
71 72 3
153 371 3
25 24 3
4 365 5
155 150 3
9 8 1
195 196 1
91 105 3
358 357 19
160 158 2
1 4 35
180 97 3
349 348 5
331 265 2
130 182 2
121 119 5
301 110 2
5 203 8
265 331 2
281 279 25
108 8 8
320 137 3
245 332 1
54 144 5
36 7 3
332 331 1
244 332 1
156 115 3
110 302 2
45 44 5
223 183 5
59 120 3
239 257 2
152 173 5
251 350 5
187 97 5
218 327 5
269 272 6
209 140 2
98 49 1
49 272 4
104 102 2
90 92 5
183 239 7
169 170 3
54 53 10
63 66 2
316 317 5
330 39 9
171 353 10
66 64 2
357 359 3
10 11 1
241 236 5
180 179 3
9 12 1
325 146 3
198 62 1
115 376 3
323 42 5
26 17 1
202 161 3
92 335 21
132 357 3
86 364 5
51 40 3
26 13 1
170 169 3
288 272 5
259 371 3
252 253 1
246 334 1
355 40 25
369 305 5
14 15 1
366 368 3
245 331 9
253 252 1
4 96 13
299 285 3
28 333 5
104 101 2
215 251 20
272 103 2
186 188 2
281 278 15
327 59 7
349 350 5
140 210 2
156 40 10
166 81 3
264 245 2
335 338 5
249 251 1
5 55 2
102 103 2
137 32 13
92 90 5
60 62 12
369 370 5
4 57 2
269 275 4
298 299 3
44 355 5
257 239 2
304 305 2
34 272 2
247 237 2
242 265 2
142 140 2
127 330 6
342 346 5
85 231 5
5 4 42
146 325 3
153 259 8
4 48 7
60 66 2
102 100 2
257 182 2
261 260 8
134 34 2
3 1 5
173 174 2
152 174 2
354 252 1
321 325 3
312 269 3
201 200 3
225 224 15
198 196 1
220 223 3
314 160 2
161 200 3
276 110 5
22 18 2
175 152 2
40 52 3
243 245 1
322 324 3
55 56 2
240 23 10
26 15 1
304 39 2
292 62 1
367 368 3
5 98 5
167 164 3
24 85 15
16 15 1
81 80 10
17 15 1
309 307 5
22 19 2
17 14 1
323 146 6
52 40 3
248 249 1
26 24 3
196 78 1
274 272 2
306 39 10
238 247 2
70 340 2
269 1 2
177 71 5
354 249 1
196 195 1
101 100 2
10 12 1
65 63 2
180 178 3
81 189 2
25 27 3
12 9 1
0 123 3
335 91 3
78 197 1
323 176 8
2 1 5
194 360 10
246 243 1
285 298 3
111 121 5
176 137 3
297 166 3
240 285 3
207 209 7
334 245 6
165 167 3
245 237 2
257 130 2
267 270 38
147 369 2
137 320 3
26 108 35
358 132 3
369 261 5
46 42 5
60 65 2
360 11 1
358 345 5
260 261 8
21 330 3
275 56 2
174 173 2
253 249 1
253 354 1
103 104 2
137 138 13
278 279 5
135 167 3
327 218 5
280 279 10
40 51 3
320 323 9
261 211 8
5 322 2
323 43 5
198 197 1
316 0 5
224 226 5
93 91 5
210 207 5
57 357 2
4 313 3
245 264 2
300 75 2
172 118 5
242 332 1
79 125 2
140 141 2
38 191 5
167 82 3
343 326 3
90 93 5
362 4 5
242 244 1
199 269 3
251 354 1
77 75 5
94 4 22
165 164 8
145 165 5
71 339 2
56 4 2
265 245 2
261 32 5
253 349 5
315 314 5
343 251 3
260 369 5
62 65 2
325 323 20
48 95 1
243 246 1
158 157 2
8 107 10
54 39 5
100 104 2
1 3 5
95 48 1
17 16 1
19 18 2
317 316 5
334 332 1
95 49 1
24 27 3
375 231 10
78 81 5
111 119 5
247 40 15
0 326 8
30 333 5
78 319 3
299 240 3
252 250 1
193 211 8
287 288 5
5 43 5
40 355 25
334 244 1
78 189 5
48 98 1
14 17 1
292 189 3
272 288 5
256 257 10
40 369 5
327 35 11
38 327 11
321 323 3
156 153 5
25 8 3
211 212 10
95 5 10
0 119 23
332 245 1
245 265 2
194 9 5
304 370 2
32 263 6
264 331 2
0 111 5
56 269 2
81 151 3
130 131 3
289 209 2
64 60 2
188 186 2
200 161 3
297 221 3
197 62 1
320 322 5
140 143 2
242 243 1
32 262 6
295 293 5
369 308 10
152 149 5
1 8 3
361 360 5
156 364 5
239 374 11
11 360 1
84 281 5
40 251 10
104 103 2
245 242 9
177 339 2
144 161 5
329 6 5
95 4 10
179 180 3
250 354 1
279 280 10
272 133 2
269 55 2
127 21 3
67 369 5
247 238 2
186 81 2
239 236 5
139 32 3
293 295 5
257 183 2
302 110 2
134 272 2
38 58 5
373 259 5
72 71 3
368 367 3
245 334 6
108 17 1
78 79 2
47 79 2
302 301 2
237 331 2
108 25 3
167 328 10
147 32 2
26 1 3
271 272 2
349 251 25
252 354 1
366 364 5
221 297 3
369 67 5
71 70 15
81 125 2
251 346 5
38 329 5
106 92 3
49 4 4
265 334 2
268 351 10
204 203 3
4 94 22
119 112 5
150 151 3
308 369 10
319 78 3
136 270 5
251 255 5
267 231 5
273 151 3
149 364 5
158 314 2
217 330 5
220 222 3
360 8 1
314 159 2
221 81 3
274 266 10
237 40 2
7 36 3
133 272 2
40 333 33
289 290 2
292 234 14
4 274 7
364 87 5
234 319 3
205 377 5
63 65 2
331 181 2
74 108 5
156 376 13
5 96 3
234 189 3
27 24 3
41 40 3
327 38 11
74 26 5
328 167 10
330 304 2
148 1 3
259 372 3
141 210 2
262 369 3
4 224 10
111 0 5
370 330 7
0 128 5
59 326 20
26 107 10
65 60 2
321 322 3
290 289 2
330 37 8
335 336 8
336 335 8
262 263 6
156 368 3
337 25 5
189 186 2
360 9 5
211 261 8
346 342 5
110 276 5
69 40 5
209 210 7
284 283 7
79 151 3
188 78 5
123 124 3
209 167 3
264 334 2
266 268 10
4 269 29
175 174 2
115 156 3
303 267 5
239 326 5
8 10 1
85 24 15
131 239 3
137 176 3
272 269 6
89 94 2
119 378 2
209 207 7
273 150 3
79 47 2
251 252 1
64 66 2
140 142 2
242 334 6
227 326 5
324 323 3
119 121 5
151 81 3
332 244 1
364 366 5
372 259 3
166 213 5
267 303 5
119 330 18
139 137 3
160 159 2
305 304 2
289 207 2
249 252 1
226 225 5
40 156 10
127 119 3
134 103 2
252 251 1
337 26 5
363 162 5
0 112 5
378 120 2
167 209 3
201 202 3
65 62 2
288 287 5
95 98 5
169 78 3
83 327 3
210 209 7
118 229 3
204 4 3
156 367 3
164 166 8
365 4 5
0 316 5
52 51 3
369 138 2
113 274 5
241 239 13
95 272 5
365 282 5
103 272 2
21 119 3
79 190 5
8 9 1
63 64 2
182 239 2
307 309 5
196 62 1
269 199 3
125 79 2
89 4 2
47 81 5
32 261 5
162 363 5
358 359 3
272 134 2
125 81 2
106 336 3
269 95 1
48 272 7
178 179 3
37 38 8
182 257 2
35 326 6
146 267 3
82 167 3
6 38 5
209 289 2
267 136 5
196 292 1
267 323 3
334 246 1
279 281 25
230 220 3
255 251 5
246 331 1
48 49 4
243 242 1
54 185 10
14 108 1
88 269 2
369 147 2
62 60 12
171 115 3
323 325 20
73 9 3
39 54 5
223 230 3
8 194 1
257 256 10
138 147 2
313 312 3
75 302 2
66 60 2
108 14 1
194 361 5
